00 00,00 94,Block ACK,N/A,CTL,a:8d:db:17:f8:19,b8:27:eb:fe:fd:b1,XX:XX:XX:XX:XX:XX,2.462000,0.0175
00 00,00 94,Block ACK,N/A,CTL,1c:e6:c7:d:d:b0,b8:d7:af:5:ea:7a,XX:XX:XX:XX:XX:XX,2.437000,0.0175
00 00,00 94,Block ACK,N/A,CTL,9c:e3:3f:5:49:c9,1c:e6:c7:3e:73:c0,XX:XX:XX:XX:XX:XX,2.412000,0.0152
00 00,00 94,Block ACK,N/A,CTL,b8:27:eb:9e:71:71,c:8d:db:17:f8:19,XX:XX:XX:XX:XX:XX,2.462000,0.0128
00 00,00 94,Block ACK,N/A,CTL,b8:d7:af:5:ea:7a,1c:e6:c7:d:d:b0,XX:XX:XX:XX:XX:XX,2.437000,0.0105
00 00,00 94,Block ACK,N/A,CTL,a:8d:db:17:f8:19,b8:27:eb:b4:4e:2c,XX:XX:XX:XX:XX:XX,2.462000,0.0105
00 00,00 94,Block ACK,N/A,CTL,a:8d:db:17:f8:19,b8:27:eb:9b:4c:10,XX:XX:XX:XX:XX:XX,2.462000,0.0093
00 00,00 94,Block ACK,N/A,CTL,b8:27:eb:d8:cb:82,a:8d:db:17:f8:19,XX:XX:XX:XX:XX:XX,2.462000,0.0082
00 3c,08 50,Probe Response,UNKNOWN,4094,b8:27:eb:9b:4c:10,ba:86:87:6e:ad:f1,ba:86:87:6e:ad:f1,2.437000,0.0046
00 3c,08 50,Probe Response,UNKNOWN,106,e:8d:fb:84:9b:ff,ba:86:87:6e:ad:f1,ba:86:87:6e:ad:f1,2.437000,0.0046
00 3c,08 50,Probe Response,UNKNOWN,52,94:65:9c:79:1b:66,ba:86:87:6e:ad:f1,ba:86:87:6e:ad:f1,2.437000,0.0035
00 3c,08 50,Probe Response,UNKNOWN,4052,b8:27:eb:b4:4e:2c,ba:86:87:6e:ad:f1,ba:86:87:6e:ad:f1,2.437000,0.0035
00 3c,08 50,Probe Response,UNKNOWN,1,b8:27:eb:9b:4c:10,ba:86:87:6e:ad:f1,ba:86:87:6e:ad:f1,2.437000,0.0035
00 3c,08 50,Probe Response,UNKNOWN,18,b8:27:eb:9e:71:71,ba:86:87:6e:ad:f1,ba:86:87:6e:ad:f1,2.437000,0.0035
00 18,00 94,Block ACK,N/A,CTL,a:8d:db:17:f8:19,b8:27:eb:9b:4c:10,XX:XX:XX:XX:XX:XX,2.462000,0.0035
00 0c,00 94,Block ACK,N/A,CTL,a:8d:db:17:f8:19,b8:27:eb:fe:fd:b1,XX:XX:XX:XX:XX:XX,2.462000,0.0035
00 00,00 94,Block ACK,N/A,CTL,b8:27:eb:fe:fd:b1,a:8d:db:17:f8:19,XX:XX:XX:XX:XX:XX,2.462000,0.0035
00 3c,08 50,Probe Response,UNKNOWN,6,b8:27:eb:fe:fd:b1,ba:86:87:6e:ad:f1,ba:86:87:6e:ad:f1,2.437000,0.0023
00 3c,08 50,Probe Response,UNKNOWN,4,b8:27:eb:9b:4c:10,ba:86:87:6e:ad:f1,ba:86:87:6e:ad:f1,2.437000,0.0023
00 3c,08 50,Probe Response,UNKNOWN,4095,b8:27:eb:9b:4c:10,ba:86:87:6e:ad:f1,ba:86:87:6e:ad:f1,2.437000,0.0023
00 3c,08 50,Probe Response,UNKNOWN,4064,b8:27:eb:98:fb:7b,ba:86:87:6e:ad:f1,ba:86:87:6e:ad:f1,2.437000,0.0023
00 3c,08 50,Probe Response,UNKNOWN,4063,e:8d:fb:84:9b:ff,ba:86:87:6e:ad:f1,ba:86:87:6e:ad:f1,2.437000,0.0023
00 3c,08 50,Probe Response,UNKNOWN,4060,b8:27:eb:98:fb:7b,ba:86:87:6e:ad:f1,ba:86:87:6e:ad:f1,2.437000,0.0023
00 3c,08 50,Probe Response,UNKNOWN,4058,e:8d:fb:17:f8:19,ba:86:87:6e:ad:f1,ba:86:87:6e:ad:f1,2.437000,0.0023
00 3c,08 50,Probe Response,UNKNOWN,15,b8:27:eb:fe:fd:b1,ba:86:87:6e:ad:f1,ba:86:87:6e:ad:f1,2.437000,0.0023
00 3c,08 50,Probe Response,UNKNOWN,10,b8:27:eb:fe:fd:b1,ba:86:87:6e:ad:f1,ba:86:87:6e:ad:f1,2.437000,0.0023
00 00,00 94,Block ACK,N/A,CTL,1c:e6:c7:3e:73:c0,9c:e3:3f:5:49:c9,XX:XX:XX:XX:XX:XX,2.412000,0.0023
01 58,11 48,Null,N/A,2743,1c:e6:c7:3e:73:c0,9c:e3:3f:5:49:c9,1c:e6:c7:3e:73:c0,2.412000,0.0011
00 3c,41 88,QoS Data,N/A,2608,e:8d:cb:84:9b:ff,34:f6:4b:7e:72:23,c:8d:db:84:9b:ff,5.180000,0.0011
00 3c,11 c8,QoS Null,N/A,0,e:8d:cb:84:9b:ff,34:f6:4b:7e:72:23,e:8d:cb:84:9b:ff,5.180000,0.0011
00 3c,11 48,Null,N/A,2409,a:8d:db:17:f8:19,5c:cf:7f:e3:5a:7f,a:8d:db:17:f8:19,2.462000,0.0011
00 3c,09 48,Null,N/A,2412,a:8d:db:17:f8:19,5c:cf:7f:e3:5a:7f,a:8d:db:17:f8:19,2.462000,0.0011
00 3c,09 48,Null,N/A,2404,a:8d:db:17:f8:19,5c:cf:7f:e3:5a:7f,a:8d:db:17:f8:19,2.462000,0.0011
00 3c,08 50,Probe Response,UNKNOWN,93,0:24:d7:1e:cf:f4,ba:86:87:6e:ad:f1,ba:86:87:6e:ad:f1,2.437000,0.0011
00 3c,08 50,Probe Response,UNKNOWN,62,e:8d:fb:17:f8:19,ba:86:87:6e:ad:f1,ba:86:87:6e:ad:f1,2.437000,0.0011
00 3c,08 50,Probe Response,UNKNOWN,50,94:65:9c:79:1b:66,ba:86:87:6e:ad:f1,ba:86:87:6e:ad:f1,2.437000,0.0011
00 3c,08 50,Probe Response,UNKNOWN,4069,b8:27:eb:98:fb:7b,ba:86:87:6e:ad:f1,ba:86:87:6e:ad:f1,2.437000,0.0011
